   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.538343   0.008742   0.007930   0.016673   0.000000   0.000000   0.045286   0.000000   0.000000  141.0000     0.1427
   -9.900     0.000  -0.527878   0.008503   0.007877   0.016379   0.000000   0.000000   0.042364   0.000000   0.000000  141.0000     0.1345
   -9.800     0.000  -0.518239   0.008215   0.007830   0.016045   0.000000   0.000000   0.039673   0.000000  -0.000000  141.0000     0.1266
   -9.700     0.000  -0.508742   0.007923   0.007786   0.015709   0.000000   0.000000   0.037022  -0.000000  -0.000000  141.0000     0.1186
   -9.600     0.000  -0.499286   0.007632   0.007745   0.015378   0.000000   0.000000   0.034382   0.000000   0.000000  141.0000     0.1103
   -9.500     0.000  -0.489836   0.007347   0.007707   0.015053   0.000000   0.000000   0.031743   0.000000  -0.000000  141.0000     0.1016
   -9.400     0.000  -0.480380   0.007066   0.007669   0.014735   0.000000   0.000000   0.029102   0.000000   0.000000  141.0000     0.0926
   -9.300     0.000  -0.470908   0.006790   0.007632   0.014422   0.000000   0.000000   0.026453   0.000000   0.000000  141.0000     0.0833
   -9.200     0.000  -0.461412   0.006519   0.007595   0.014115   0.000000   0.000000   0.023796   0.000000   0.000000  141.0000     0.0735
   -9.100     0.000  -0.451891   0.006254   0.007557   0.013811   0.000000   0.000000   0.021128   0.000000   0.000000  141.0000     0.0632
   -9.000     0.000  -0.442349   0.005993   0.007518   0.013511   0.000000   0.000000   0.018450   0.000000   0.000000  141.0000     0.0524
   -8.900     0.000  -0.432792   0.005737   0.007477   0.013214   0.000000   0.000000   0.015765   0.000000  -0.000000  141.0000     0.0411
   -8.800     0.000  -0.423220   0.005487   0.007435   0.012921   0.000000   0.000000   0.013073   0.000000   0.000000  141.0000     0.0292
   -8.700     0.000  -0.413635   0.005242   0.007391   0.012633   0.000000   0.000000   0.010375   0.000000   0.000000  141.0000     0.0168
   -8.600     0.000  -0.404041   0.005002   0.007346   0.012348   0.000000   0.000000   0.007671   0.000000   0.000000  141.0000     0.0037
   -8.500     0.000  -0.394437   0.004768   0.007299   0.012067   0.000000   0.000000   0.004962   0.000000  -0.000000  141.0000    -0.0100
   -8.400     0.000  -0.384823   0.004539   0.007249   0.011788   0.000000   0.000000   0.002246   0.000000   0.000000  141.0000    -0.0245
   -8.300     0.000  -0.375200   0.004316   0.007198   0.011514   0.000000   0.000000  -0.000476   0.000000  -0.000000  141.0000    -0.0397
   -8.200     0.000  -0.365565   0.004098   0.007146   0.011244   0.000000   0.000000  -0.003203   0.000000   0.000000  141.0000    -0.0558
   -8.100     0.000  -0.355954   0.003884   0.007096   0.010979   0.000000   0.000000  -0.005923   0.000000   0.000000  141.0000    -0.0727
   -8.000     0.000  -0.346268   0.003678   0.007043   0.010720   0.000000   0.000000  -0.008669   0.000000   0.000000  141.0000    -0.0908
   -7.900     0.000  -0.336597   0.003476   0.006987   0.010463   0.000000   0.000000  -0.011414   0.000000   0.000000  141.0000    -0.1100
