   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
 -10.000  -0.6444   0.00822   0.00365  -0.1018   0.6606   0.0233
  -9.500  -0.5878   0.00792   0.00334  -0.1023   0.6470   0.0257
  -9.000  -0.5300   0.00768   0.00309  -0.1029   0.6399   0.0266
  -8.500  -0.4721   0.00744   0.00284  -0.1036   0.6282   0.0281
  -8.000  -0.4137   0.00721   0.00260  -0.1043   0.6199   0.0299
  -7.500  -0.3549   0.00703   0.00240  -0.1050   0.6094   0.0307
  -7.000  -0.2958   0.00684   0.00221  -0.1058   0.6010   0.0328
  -6.500  -0.2365   0.00665   0.00202  -0.1066   0.5914   0.0352
  -6.000  -0.1772   0.00648   0.00185  -0.1075   0.5818   0.0397
  -5.500  -0.1174   0.00629   0.00168  -0.1084   0.5735   0.0463
  -5.000  -0.0576   0.00608   0.00152  -0.1094   0.5654   0.0611
  -4.500   0.0025   0.00584   0.00135  -0.1104   0.5566   0.0844
  -4.000   0.0628   0.00562   0.00122  -0.1115   0.5484   0.1123
  -3.500   0.1233   0.00539   0.00109  -0.1127   0.5395   0.1500
  -3.000   0.1841   0.00515   0.00098  -0.1139   0.5330   0.1967
  -2.500   0.2449   0.00492   0.00088  -0.1151   0.5225   0.2531
  -2.000   0.3060   0.00468   0.00080  -0.1165   0.5150   0.3162
  -1.500   0.3672   0.00445   0.00075  -0.1178   0.5043   0.3887
  -1.000   0.4277   0.00442   0.00075  -0.1189   0.4957   0.4186
  -0.500   0.4880   0.00443   0.00077  -0.1198   0.4870   0.4321
   0.000   0.5481   0.00446   0.00081  -0.1208   0.4783   0.4484
   0.500   0.6082   0.00448   0.00085  -0.1217   0.4691   0.4661
   1.000   0.6675   0.00457   0.00092  -0.1225   0.4550   0.4793
   1.500   0.7266   0.00468   0.00099  -0.1233   0.4427   0.4852
   2.000   0.7859   0.00477   0.00107  -0.1241   0.4302   0.4990
   2.500   0.8446   0.00489   0.00116  -0.1248   0.4167   0.5086
   3.000   0.9027   0.00505   0.00129  -0.1254   0.3997   0.5199
   3.500   0.9586   0.00536   0.00148  -0.1257   0.3688   0.5287
   4.000   1.0123   0.00580   0.00176  -0.1256   0.3269   0.5378
   4.500   1.0610   0.00657   0.00221  -0.1246   0.2564   0.5441
   5.000   1.1093   0.00733   0.00270  -0.1237   0.1948   0.5553
   6.000   1.2097   0.00845   0.00351  -0.1223   0.1267   0.5736
   6.500   1.2587   0.00901   0.00394  -0.1215   0.1006   0.5795
   7.000   1.3057   0.00962   0.00444  -0.1203   0.0748   0.5917
   7.500   1.3505   0.01028   0.00499  -0.1187   0.0542   0.5994
   8.000   1.3928   0.01097   0.00559  -0.1168   0.0365   0.6122
   8.500   1.4348   0.01156   0.00613  -0.1147   0.0281   0.6203
   9.000   1.4700   0.01206   0.00663  -0.1113   0.0247   0.6323
   9.500   1.5007   0.01266   0.00724  -0.1072   0.0218   0.6442
  10.000   1.5335   0.01330   0.00790  -0.1038   0.0208   0.6543
  10.500   1.5628   0.01414   0.00876  -0.1001   0.0187   0.6695
  11.000   1.5938   0.01502   0.00968  -0.0970   0.0181   0.6822
  11.500   1.6206   0.01619   0.01087  -0.0936   0.0166   0.6936
  12.000   1.6480   0.01746   0.01218  -0.0906   0.0152   0.7099
  12.500   1.6708   0.01911   0.01386  -0.0873   0.0130   0.7245
  13.000   1.6888   0.02120   0.01597  -0.0839   0.0096   0.7390
  13.500   1.7035   0.02369   0.01850  -0.0806   0.0069   0.7525
  14.000   1.7230   0.02604   0.02091  -0.0782   0.0064   0.7693
  14.500   1.7424   0.02855   0.02349  -0.0760   0.0060   0.7903
  15.000   1.7601   0.03135   0.02637  -0.0740   0.0056   0.8142
  15.500   1.7772   0.03436   0.02948  -0.0724   0.0054   0.8436
  16.000   1.7935   0.03753   0.03283  -0.0710   0.0054   0.9129
  16.500   1.8061   0.04085   0.03634  -0.0692   0.0054   1.0000
  17.000   1.8202   0.04464   0.04018  -0.0683   0.0053   1.0000
  17.500   1.8333   0.04870   0.04430  -0.0677   0.0053   1.0000
  18.000   1.8445   0.05308   0.04874  -0.0674   0.0052   1.0000
  18.500   1.8544   0.05779   0.05351  -0.0673   0.0051   1.0000
  19.000   1.8630   0.06278   0.05857  -0.0674   0.0051   1.0000
  19.500   1.8693   0.06819   0.06405  -0.0679   0.0050   1.0000
  20.000   1.8748   0.07387   0.06981  -0.0687   0.0049   1.0000
  20.500   1.8775   0.08002   0.07603  -0.0698   0.0048   1.0000
  21.000   1.8791   0.08648   0.08258  -0.0712   0.0048   1.0000
  21.500   1.8788   0.09333   0.08951  -0.0730   0.0047   1.0000
  22.000   1.8770   0.10048   0.09674  -0.0751   0.0046   1.0000
  22.500   1.8736   0.10797   0.10433  -0.0777   0.0044   1.0000
  23.000   1.8667   0.11602   0.11249  -0.0807   0.0043   1.0000
  23.500   1.8578   0.12448   0.12106  -0.0843   0.0042   1.0000
  24.000   1.8488   0.13292   0.12962  -0.0882   0.0041   1.0000
  24.500   1.8410   0.14112   0.13793  -0.0923   0.0041   1.0000
  25.000   1.8348   0.14901   0.14591  -0.0967   0.0040   1.0000
