alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.556697   0.008520   0.007529   0.016049   0.000000   0.000000   0.055554  -0.000000  -0.000000  141.0000     0.1577
   -9.900     0.000  -0.545661   0.008299   0.007478   0.015777   0.000000   0.000000   0.052338  -0.000000  -0.000000  141.0000     0.1494
   -9.800     0.000  -0.535515   0.008022   0.007434   0.015456   0.000000   0.000000   0.049380  -0.000000  -0.000000  141.0000     0.1413
   -9.700     0.000  -0.525617   0.007733   0.007391   0.015125   0.000000   0.000000   0.046494  -0.000000  -0.000000  141.0000     0.1332
   -9.600     0.000  -0.515744   0.007448   0.007351   0.014799   0.000000   0.000000   0.043615   0.000000  -0.000000  141.0000     0.1247
   -9.500     0.000  -0.505874   0.007167   0.007311   0.014478   0.000000   0.000000   0.040737   0.000000  -0.000000  141.0000     0.1159
   -9.400     0.000  -0.495999   0.006891   0.007272   0.014163   0.000000   0.000000   0.037855  -0.000000  -0.000000  141.0000     0.1068
   -9.300     0.000  -0.486114   0.006620   0.007233   0.013853   0.000000   0.000000   0.034970  -0.000000  -0.000000  141.0000     0.0972
   -9.200     0.000  -0.476221   0.006355   0.007193   0.013548   0.000000   0.000000   0.032082   0.000000   0.000000  141.0000     0.0873
   -9.100     0.000  -0.466323   0.006094   0.007154   0.013249   0.000000   0.000000   0.029192   0.000000   0.000000  141.0000     0.0768
   -9.000     0.000  -0.456424   0.005839   0.007116   0.012955   0.000000   0.000000   0.026301   0.000000  -0.000000  141.0000     0.0660
   -8.900     0.000  -0.446524   0.005590   0.007078   0.012668   0.000000   0.000000   0.023410   0.000000  -0.000000  141.0000     0.0546
   -8.800     0.000  -0.436620   0.005346   0.007040   0.012386   0.000000   0.000000   0.020516   0.000000  -0.000000  141.0000     0.0427
   -8.700     0.000  -0.426714   0.005107   0.007002   0.012109   0.000000  -0.000000   0.017621  -0.000000  -0.000000  141.0000     0.0303
