  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64(4)-421                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8055   0.00905   0.00428  -0.0595   0.5988   0.0287
  -9.500  -0.7549   0.00875   0.00395  -0.0591   0.5948   0.0290
  -9.000  -0.7022   0.00853   0.00367  -0.0591   0.5813   0.0292
  -8.500  -0.6476   0.00831   0.00342  -0.0594   0.5657   0.0294
  -8.000  -0.5914   0.00808   0.00318  -0.0599   0.5511   0.0295
  -7.500  -0.5342   0.00785   0.00296  -0.0606   0.5494   0.0297
  -7.000  -0.4763   0.00763   0.00276  -0.0615   0.5479   0.0353
  -6.500  -0.4180   0.00743   0.00256  -0.0623   0.5442   0.0415
  -6.000  -0.3602   0.00721   0.00235  -0.0632   0.5337   0.0489
  -5.500  -0.3016   0.00701   0.00216  -0.0642   0.5220   0.0570
  -5.000  -0.2428   0.00669   0.00193  -0.0653   0.5102   0.0798
  -4.000  -0.1236   0.00594   0.00147  -0.0679   0.4993   0.1516
  -3.000  -0.0022   0.00525   0.00112  -0.0708   0.4981   0.2509
  -2.500   0.0590   0.00494   0.00098  -0.0723   0.4971   0.3008
  -2.000   0.1203   0.00468   0.00086  -0.0739   0.4948   0.3508
  -1.500   0.1811   0.00438   0.00078  -0.0754   0.4863   0.4320
  -1.000   0.2418   0.00438   0.00078  -0.0767   0.4749   0.4476
  -0.500   0.3031   0.00442   0.00080  -0.0780   0.4660   0.4504
   0.000   0.3643   0.00447   0.00082  -0.0793   0.4553   0.4511
   0.500   0.4255   0.00451   0.00085  -0.0806   0.4489   0.4513
   1.000   0.4866   0.00453   0.00088  -0.0819   0.4459   0.4615
   1.500   0.5386   0.00521   0.00120  -0.0818   0.3651   0.4738
   2.500   0.6391   0.00649   0.00192  -0.0809   0.2165   0.4946
   3.000   0.6906   0.00696   0.00220  -0.0805   0.1727   0.4975
   3.500   0.7383   0.00752   0.00255  -0.0795   0.1229   0.4988
   4.000   0.7884   0.00790   0.00282  -0.0789   0.0908   0.4996
   4.500   0.8334   0.00837   0.00316  -0.0773   0.0702   0.5001
   5.500   0.9132   0.00919   0.00382  -0.0722   0.0397   0.5070
   6.000   0.9237   0.00941   0.00407  -0.0637   0.0385   0.5180
   6.500   0.9502   0.00985   0.00451  -0.0589   0.0327   0.5293
   7.000   0.9676   0.01041   0.00511  -0.0527   0.0271   0.5398
   7.500   0.9903   0.01104   0.00577  -0.0478   0.0216   0.5464
   8.000   1.0153   0.01174   0.00648  -0.0436   0.0208   0.5486
   8.500   1.0356   0.01263   0.00738  -0.0389   0.0201   0.5497
   9.500   1.0447   0.01566   0.01041  -0.0263   0.0087   0.5728
  10.000   1.0660   0.01688   0.01167  -0.0227   0.0075   0.5876
  10.500   1.0678   0.01907   0.01393  -0.0172   0.0049   0.5960
  11.000   1.0940   0.02034   0.01522  -0.0146   0.0049   0.5986
  12.000   1.1238   0.02423   0.01922  -0.0081   0.0050   0.6222
  12.500   1.1480   0.02573   0.02081  -0.0059   0.0050   0.6393
  13.500   1.1723   0.03048   0.02569  -0.0005   0.0050   0.6521
  14.000   1.1951   0.03234   0.02763   0.0012   0.0051   0.6751
  14.500   1.1896   0.03640   0.03183   0.0040   0.0051   0.6925
  15.000   1.2133   0.03837   0.03385   0.0053   0.0051   0.6977
  15.500   1.2358   0.04046   0.03599   0.0065   0.0052   0.7101
  16.000   1.2490   0.04330   0.03894   0.0079   0.0052   0.7325
  16.500   1.2446   0.04796   0.04372   0.0093   0.0052   0.7458
  17.000   1.2669   0.05016   0.04598   0.0100   0.0053   0.7584
  17.500   1.2855   0.05274   0.04868   0.0105   0.0053   0.7868
  18.500   1.2839   0.06237   0.05861   0.0112   0.0054   0.8389
  19.000   1.3023   0.06503   0.06146   0.0116   0.0054   0.8953
  19.500   1.3131   0.06853   0.06520   0.0119   0.0055   1.0000
  20.000   1.2811   0.07760   0.07443   0.0105   0.0055   1.0000
  20.500   1.2960   0.08114   0.07809   0.0099   0.0052   1.0000
  21.000   1.3141   0.08439   0.08141   0.0090   0.0052   1.0000
  21.500   1.3284   0.08829   0.08537   0.0079   0.0052   1.0000
  22.000   1.2982   0.09843   0.09567   0.0044   0.0052   1.0000
  22.500   1.3140   0.10230   0.09959   0.0029   0.0052   1.0000
  23.000   1.3263   0.10666   0.10401   0.0011   0.0052   1.0000
  23.500   1.2903   0.11822   0.11575  -0.0041   0.0052   1.0000
  24.000   1.3028   0.12248   0.12007  -0.0062   0.0053   1.0000
  24.500   1.3118   0.12713   0.12478  -0.0088   0.0053   1.0000
  25.000   1.2710   0.13972   0.13756  -0.0155   0.0053   1.0000
