Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,MAD,ACC,Iberia Airlines (IB),Iberia Airlines,2416,5:19,,,,,319,,,,,,,
,,,Direct,1229,248,2822,,,,,,,,,,,,
- -,MAD,ACE,Ryanair (FR),Ryanair,977,2:27,,,,,738,,,,,,,
,,,Direct,1229,1055,4296,,,,,,,,,,,,
- -,MAD,ACE,Iberia Airlines (IB),Iberia Airlines,977,2:27,,,,,32S,,,,,,,
,,,Codeshare,1229,1055,2822,,,,,,,,,,,,
- -,MAD,ACE,Air Europa (UX),Air Europa,977,2:27,,,,,738 332,,,,,,,
,,,Direct,1229,1055,90,,,,,,,,,,,,
- -,MAD,AGP,Iberia Airlines (IB),Iberia Airlines,267,1:02,,,,,32S,,,,,,,
,,,Codeshare,1229,1230,2822,,,,,,,,,,,,
- -,MAD,AGP,Air Europa (UX),Air Europa,267,1:02,,,,,ATR,,,,,,,
,,,Direct,1229,1230,90,,,,,,,,,,,,
- -,MAD,AHO,Ryanair (FR),Ryanair,621,1:44,,,,,738,,,,,,,
,,,Direct,1229,1517,4296,,,,,,,,,,,,
- -,MAD,ALC,Iberia Airlines (IB),Iberia Airlines,220,0:56,,,,,32S,,,,,,,
,,,Codeshare,1229,1212,2822,,,,,,,,,,,,
- -,MAD,ALG,Air Algerie (AH),Air Algerie,449,1:23,,,,,736,,,,,,,
,,,Direct,1229,210,794,,,,,,,,,,,,
- -,MAD,ALG,Iberia Airlines (IB),Iberia Airlines,449,1:23,,,,,319,,,,,,,
,,,Direct,1229,210,2822,,,,,,,,,,,,
- -,MAD,AMM,Iberia Airlines (IB),Iberia Airlines,2267,5:02,,,,,319 320,,,,,,,
,,,Codeshare,1229,2170,2822,,,,,,,,,,,,
- -,MAD,AMM,Royal Jordanian (RJ),Royal Jordanian,2267,5:02,,,,,319 320,,,,,,,
,,,Direct,1229,2170,4259,,,,,,,,,,,,
- -,MAD,AMS,KLM Royal Dutch Airlines (KL),KLM Royal Dutch Airlines,907,2:18,,,,,737,,,,,,,
,,,Direct,1229,580,3090,,,,,,,,,,,,
- -,MAD,AMS,China Eastern Airlines (MU),China Eastern Airlines,907,2:18,,,,,737,,,,,,,
,,,Direct,1229,580,1758,,,,,,,,,,,,
- -,MAD,AMS,Air Europa (UX),Air Europa,907,2:18,,,,,738,,,,,,,
,,,Direct,1229,580,90,,,,,,,,,,,,
- -,MAD,ARN,Iberia Airlines (IB),Iberia Airlines,1615,3:43,,,,,32S,,,,,,,
,,,Codeshare,1229,737,2822,,,,,,,,,,,,
- -,MAD,ARN,Scandinavian Airlines System (SK),Scandinavian Airlines System,1615,3:43,,,,,73H 73W,,,,,,,
,,,Direct,1229,737,4319,,,,,,,,,,,,
- -,MAD,ATH,Aegean Airlines (A3),Aegean Airlines,1476,3:27,,,,,320,,,,,,,
,,,Direct,1229,3941,96,,,,,,,,,,,,
- -,MAD,ATH,Olympic Airlines (OA),Olympic Airlines,1476,3:27,,,,,320,,,,,,,
,,,Codeshare,1229,3941,3776,,,,,,,,,,,,
- -,MAD,ATL,Air France (AF),Air France,4323,9:08,,,,,764,,,,,,,
,,,Codeshare,1229,3682,137,,,,,,,,,,,,
- -,MAD,ATL,AeroMéxico (AM),AeroMéxico,4323,9:08,,,,,764,,,,,,,
,,,Codeshare,1229,3682,321,,,,,,,,,,,,
- -,MAD,ATL,Delta Air Lines (DL),Delta Air Lines,4323,9:08,,,,,764,,,,,,,
,,,Direct,1229,3682,2009,,,,,,,,,,,,
- -,MAD,ATL,KLM Royal Dutch Airlines (KL),KLM Royal Dutch Airlines,4323,9:08,,,,,764,,,,,,,
,,,Codeshare,1229,3682,3090,,,,,,,,,,,,
- -,MAD,BCN,Iberia Airlines (IB),Iberia Airlines,299,1:05,,,,,319 320 321,,,,,,,
,,,Direct,1229,1218,2822,,,,,,,,,,,,
- -,MAD,BCN,Air Europa (UX),Air Europa,299,1:05,,,,,332 333,,,,,,,
,,,Direct,1229,1218,90,,,,,,,,,,,,
- -,MAD,BCN,Formosa Airlines (VY),Formosa Airlines,299,1:05,,,,,320,,,,,,,
,,,Direct,1229,1218,2439,,,,,,,,,,,,
- -,MAD,BGY,Ryanair (FR),Ryanair,758,2:00,,,,,738,,,,,,,
,,,Direct,1229,1525,4296,,,,,,,,,,,,
- -,MAD,BIO,Iberia Airlines (IB),Iberia Airlines,198,0:53,,,,,319 321 320,,,,,,,
,,,Direct,1229,1216,2822,,,,,,,,,,,,
- -,MAD,BIO,Air Europa (UX),Air Europa,198,0:53,,,,,E90,,,,,,,
,,,Direct,1229,1216,90,,,,,,,,,,,,
- -,MAD,BJZ,Air Europa (UX),Air Europa,204,0:54,,,,,ATR,,,,,,,
,,,Direct,1229,1219,90,,,,,,,,,,,,
- -,MAD,BKK,Thai Airways International (TG),Thai Airways International,6330,13:09,,,,,777,,,,,,,
,,,Direct,1229,3885,4940,,,,,,,,,,,,
- -,MAD,BLQ,Ryanair (FR),Ryanair,805,2:06,,,,,738,,,,,,,
,,,Direct,1229,1538,4296,,,,,,,,,,,,
- -,MAD,BLQ,Iberia Airlines (IB),Iberia Airlines,805,2:06,,,,,CRK,,,,,,,
,,,Codeshare,1229,1538,2822,,,,,,,,,,,,
- -,MAD,BOD,Iberia Airlines (IB),Iberia Airlines,333,1:09,,,,,CRK CR9,,,,,,,
,,,Codeshare,1229,1264,2822,,,,,,,,,,,,
- -,MAD,BOG,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,4987,10:28,,,,,330,,,,,,,
,,,Direct,1229,2709,515,,,,,,,,,,,,
- -,MAD,BOG,Iberia Airlines (IB),Iberia Airlines,4987,10:28,,,,,345 346,,,,,,,
,,,Direct,1229,2709,2822,,,,,,,,,,,,
- -,MAD,BOS,American Airlines (AA),American Airlines,3399,7:17,,,,,330,,,,,,,
,,,Direct,1229,3448,24,,,,,,,,,,,,
- -,MAD,BOS,Finnair (AY),Finnair,3399,7:17,,,,,333,,,,,,,
,,,Direct,1229,3448,2350,,,,,,,,,,,,
- -,MAD,BOS,British Airways (BA),British Airways,3399,7:17,,,,,333,,,,,,,
,,,Codeshare,1229,3448,1355,,,,,,,,,,,,
- -,MAD,BOS,Iberia Airlines (IB),Iberia Airlines,3399,7:17,,,,,333,,,,,,,
,,,Direct,1229,3448,2822,,,,,,,,,,,,
- -,MAD,BRS,easyJet (U2),easyJet,754,2:00,,,,,320 319,,,,,,,
,,,Direct,1229,490,2297,,,,,,,,,,,,
- -,MAD,BRU,AeroMéxico (AM),AeroMéxico,817,2:08,,,,,E90,,,,,,,
,,,Direct,1229,302,321,,,,,,,,,,,,
- -,MAD,BRU,Hainan Airlines (HU),Hainan Airlines,817,2:08,,,,,319,,,,,,,
,,,Direct,1229,302,2660,,,,,,,,,,,,
- -,MAD,BRU,Iberia Airlines (IB),Iberia Airlines,817,2:08,,,,,321 320,,,,,,,
,,,Direct,1229,302,2822,,,,,,,,,,,,
- -,MAD,BRU,Brussels Airlines (SN),Brussels Airlines,817,2:08,,,,,320 319 AR1,,,,,,,
,,,Direct,1229,302,1531,,,,,,,,,,,,
- -,MAD,BRU,Air Europa (UX),Air Europa,817,2:08,,,,,E90,,,,,,,
,,,Direct,1229,302,90,,,,,,,,,,,,
- -,MAD,BSL,easyJet (U2),easyJet,736,1:58,,,,,319 320,,,,,,,
,,,Direct,1229,1423,2297,,,,,,,,,,,,
- -,MAD,BUD,Ryanair (FR),Ryanair,1226,2:57,,,,,738,,,,,,,
,,,Direct,1229,1489,4296,,,,,,,,,,,,
- -,MAD,BUD,Wizz Air (W6),Wizz Air,1226,2:57,,,,,320,,,,,,,
,,,Direct,1229,1489,5461,,,,,,,,,,,,
- -,MAD,BVA,Ryanair (FR),Ryanair,678,1:51,,,,,738,,,,,,,
,,,Direct,1229,1367,4296,,,,,,,,,,,,
- -,MAD,CAG,Ryanair (FR),Ryanair,673,1:50,,,,,738,,,,,,,
,,,Direct,1229,1519,4296,,,,,,,,,,,,
- -,MAD,CAI,Egyptair (MS),Egyptair,2080,4:39,,,,,738,,,,,,,
,,,Direct,1229,1128,2143,,,,,,,,,,,,
- -,MAD,CCS,Iberia Airlines (IB),Iberia Airlines,4350,9:12,,,,,333,,,,,,,
,,,Direct,1229,2851,2822,,,,,,,,,,,,
- -,MAD,CCS,Air Europa (UX),Air Europa,4350,9:12,,,,,332,,,,,,,
,,,Direct,1229,2851,90,,,,,,,,,,,,
- -,MAD,CCS,Conviasa (V0),Conviasa,4350,9:12,,,,,330,,,,,,,
,,,Direct,1229,2851,1886,,,,,,,,,,,,
- -,MAD,CDG,Air France (AF),Air France,661,1:49,,,,,321 320 318 32A 319,,,,,,,
,,,Direct,1229,1382,137,,,,,,,,,,,,
- -,MAD,CDG,easyJet (U2),easyJet,661,1:49,,,,,319,,,,,,,
,,,Direct,1229,1382,2297,,,,,,,,,,,,
- -,MAD,CDG,Formosa Airlines (VY),Formosa Airlines,661,1:49,,,,,320,,,,,,,
,,,Direct,1229,1382,2439,,,,,,,,,,,,
- -,MAD,CIA,Ryanair (FR),Ryanair,844,2:11,,,,,738,,,,,,,
,,,Direct,1229,1553,4296,,,,,,,,,,,,
- -,MAD,CLJ,Wizz Air (W6),Wizz Air,1421,3:20,,,,,320,,,,,,,
,,,Direct,1229,1652,5461,,,,,,,,,,,,
- -,MAD,CLO,Avianca - Aerovias Nacionales de Colombia (AV),Avianca - Aerovias Nacionales de Colombia,5156,10:48,,,,,330,,,,,,,
,,,Direct,1229,2715,515,,,,,,,,,,,,
- -,MAD,CMN,Royal Air Maroc (AT),Royal Air Maroc,538,1:34,,,,,738 73G,,,,,,,
,,,Direct,1229,1074,4248,,,,,,,,,,,,
- -,MAD,CMN,Iberia Airlines (IB),Iberia Airlines,538,1:34,,,,,320 319,,,,,,,
,,,Direct,1229,1074,2822,,,,,,,,,,,,
- -,MAD,CPH,Norwegian Air Shuttle (DY),Norwegian Air Shuttle,1279,3:03,,,,,73H,,,,,,,
,,,Direct,1229,609,3737,,,,,,,,,,,,
- -,MAD,CPH,Iberia Airlines (IB),Iberia Airlines,1279,3:03,,,,,32S,,,,,,,
,,,Codeshare,1229,609,2822,,,,,,,,,,,,
- -,MAD,CPH,Scandinavian Airlines System (SK),Scandinavian Airlines System,1279,3:03,,,,,320 321,,,,,,,
,,,Direct,1229,609,4319,,,,,,,,,,,,
- -,MAD,CRL,Ryanair (FR),Ryanair,790,2:04,,,,,738,,,,,,,
,,,Direct,1229,304,4296,,,,,,,,,,,,
- -,MAD,CTA,Ryanair (FR),Ryanair,1019,2:32,,,,,738,,,,,,,
,,,Direct,1229,1509,4296,,,,,,,,,,,,
- -,MAD,CUN,AeroMéxico (AM),AeroMéxico,4944,10:23,,,,,333,,,,,,,
,,,Direct,1229,1852,321,,,,,,,,,,,,
- -,MAD,CUN,Compagnie Africaine d\'Aviation (E9),Compagnie Africaine d\'Aviation,4944,10:23,,,,,333,,,,,,,
,,,Direct,1229,1852,11806,,,,,,,,,,,,
- -,MAD,CUN,Air Europa (UX),Air Europa,4944,10:23,,,,,333,,,,,,,
,,,Direct,1229,1852,90,,,,,,,,,,,,
- -,MAD,DFW,American Airlines (AA),American Airlines,4951,10:24,,,,,777,,,,,,,
,,,Direct,1229,3670,24,,,,,,,,,,,,
- -,MAD,DFW,Finnair (AY),Finnair,4951,10:24,,,,,777,,,,,,,
,,,Direct,1229,3670,2350,,,,,,,,,,,,
- -,MAD,DFW,British Airways (BA),British Airways,4951,10:24,,,,,777,,,,,,,
